"The Day Ahead Auction prices for the following bidding zones is published without any change under the CC BY 4.0 (creativecommons.org/licenses/by/4.0) license with the source Bundesnetzagentur | SMARD.de: AT, BE, CH, CZ, DE-LU, DE-AT-LU, DK1, DK2, FR, HU, IT-NORTH, NL, NO2, PL, SE4, SI",,,,
Date (GMT+2),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (NL)
,Power (MW),Power (MW),Power (MW),Price (EUR/MWh)
2025-06-30T00:00+02:00,468.1725,5976.42875,436.83375,98.73
2025-06-30T01:00+02:00,468.2175,5978.7475,437.775,89.03
2025-06-30T02:00+02:00,468.0925,6111.33375,389.43375,85.03
2025-06-30T03:00+02:00,467.2175,6180.72375,306.08875,84.13
2025-06-30T04:00+02:00,466.4325,6315.03125,269.79875,86.11
2025-06-30T05:00+02:00,465.9925,6497.40125,330.21625,96
2025-06-30T06:00+02:00,468.5875,6947.94375,425.68375,114.9
2025-06-30T07:00+02:00,468.5625,6823.00875,391.33625,111.7
2025-06-30T08:00+02:00,468.44,6484.135,403.925,108.17
2025-06-30T09:00+02:00,468.325,4265.22,438.115,91.94
2025-06-30T10:00+02:00,468.03,1589.49625,484.86875,77.41
2025-06-30T11:00+02:00,467.3,993.8275,566.79,49.86
2025-06-30T12:00+02:00,466.54,1009.69625,519.37375,4.77
2025-06-30T13:00+02:00,466.5,1070,483.75,-2
2025-06-30T14:00+02:00,465,1097.375,499.125,0.1
2025-06-30T15:00+02:00,466.5,1326.625,483.875,61.2
2025-06-30T16:00+02:00,466.75,2118.5,458.5,80.5
2025-06-30T17:00+02:00,466.25,4702.375,436.875,91.77
2025-06-30T18:00+02:00,466.5,7177.125,500.125,110.01
2025-06-30T19:00+02:00,466.5,8300.75,529.75,178.94
2025-06-30T20:00+02:00,466.25,8451.875,648.375,289.45
2025-06-30T21:00+02:00,466.25,8535.875,1029.125,236
2025-06-30T22:00+02:00,466.75,8585,1423,157
2025-06-30T23:00+02:00,466.5,8119.5,1713,122.65
2025-07-01T00:00+02:00,466.5,7754.625,2162.875,111.28
2025-07-01T01:00+02:00,466.75,7392,2474.75,95.39
